F F D E E F R R F XXX NA NA E C dr
D B E A A B J C T B 0 NA D D dr
B B E A A B B C T B 0 NA C D dr
C B E A A B G C F B 0 NA C D dr
C B E A A B F C T B 0 NA C D dr
B B E A A B C B F B 0 NA C D dr
A A C A A A B C F B 0 NA C D dr
B A E A A A B C T B 0 NA C D dr
A A C A A A A B F B 0 NA C D dr
A A C A A A B B F B 0 NA B D dr
A A C A A A G G F B 0 NA B D dr
A A C A A A K H F B 0 NA A D dr
A A C A A A G I F B 0 NA A D dr
A A B A A A P Q F B 0 NA A D dr
A A B A A A R Q F B 0 NA A D dr
A A B A A A Q Q F B 0 NA A D dr
A A B A A A Q R F B 0 NA A D dr
A A C A A A P J F B 0 NA A D dr
A A B A A A P Q F B 0 NA A D dr
A A B A A A P P F B 0 NA A D dr
A A B A A A P P F B 0 NA A C dr
A A C A A A M N F B 0 NA A C dr
A A C A A A F E F B 0 NA A C dr
A A C A A A H F F B 0 NA A C dr
A A C A A A A B F B 0 NA A C dr
A A C A A A J J F B 0 NA A C dr
A A C A A A F F F B 0 NA A C dr
A A C A A A J F F B 0 NA A C dr
A A C A A A J C F B 0 NA A C dr
A A C A A A C C F B 0 NA A C dr
A A C A A A G C F B 0 NA A C dr
A A C A A A C B F B 0 NA A C dr
A A C A A A F C F B 0 NA A C dr
A A C A A A J I F B 0 NA A C dr
A A C A A A G G F B 0 NA A C dr
A A C A A A H B F B 0 NA A C dr
A A C A A A B B F B 0 NA A C dr
B A E A A A G B T B 0 NA A C dr
A A C A A A J F F B 0 NA A C dr
A A D A A A C B F B 0 NA A C dr
A A C A A A C F F B 0 NA A C dr
A A C A A A C C F B 0 NA A C dr
A A C A A A C B F B 0 NA A C dr
A A E A A A B B F B 0 NA A C dr
A A E A A A G A T B 0 NA A C dr
A A D A A A C B F B 0 NA A C dr
A A C A A A J G F B 0 NA A C dr
A A D A A A E F F B 0 NA A C dr
A A C A A A F C F B 0 NA A C dr
A A D A A A G D F B 0 NA A C dr
A A C A A A G J F B 0 NA A C dr
A A C A A A G D F B 0 NA A C dr
A A C A A A C B F B 0 NA A C dr
A A C A A A C C F B 0 NA A C dr
A A C A A A B B F B 0 NA A C dr
A A C A A A F C F B 0 NA A C dr
